Thailändisch,Deutsch,หมายเหตุ
การเสพติดของเขา(ญ)นั้นไม่ดีต่อสุขภาพ,Ihre Sucht ist nicht gesund.,
ในสนามบินมีผู้คน(M)มากมายที่ต้องการซื้อหรือเปลี่ยนตั๋วเครื่องบินของพวกเขาที่นี่,"Im Flughafen sind viele Menschen, die hier ihre Flugtickets kaufen oder ändern wollen.",
"ในร้านฉันมองหาพนักงานขาย(ญ)และฉันถามเธอว่า ""มีนาฬิกาผู้ชายดี ๆ ไหม""","Im Geschäft suche ich die Verkäuferin und frage sie: ""Haben Sie sehr gute Herrenuhren?""",- ดี ๆ: ดีมาก (ไม่ใช่สวย)
เดือนมิถุนายนเขาจะมาหาฉัน,Im Juni kommt er zu mir.,
ในปากเธอ(๓)มีลูกกวาดอยู่แท่งหนึ่ง,Im Mund hat sie einen Lolly.,- ขึ้นประโยคด้วยบุพบท
ในกระเป๋าเป้<u><b>ฉันมี</b></u>สายชาร์จอันหนึ่งสำหรับโทรศัพท์ของฉัน,Im Rucksack habe ich ein Ladegerät für mein Handy.,
ในฤดูร้อนเธอ(๓)ชอบกินไอศกรีม,Im Sommer isst sie gern Eis.,
ในบ้านทั้งหลังมีหน้าต่างสามบาน,Im gesamten Haus gibt es drei Fenster.,
ในเมืองใหญ่<sub>(พหู!Artikel)</sub>มีรถราเยอะแยะวิ่งไปมา ควันทำลายสุขภาพ,In Großstädten fahren viele Autos. Der Staub schadet der Gesundheit.,
ในช่วง 3 ปีที่ผ่านมาฉันทำงานหนัก,In den letzten drei Jahren habe ich viel gearbeitet.,- perfekt
ในร้านเบเกอรีฉันสามารถซื้อ(รับ)ขนมปังสด ๆ (พหู)ตอนเช้าเจ็ดโมง,In der Bäckerei kann ich schon morgens um sieben Uhr frische Brötchen bekommen.,- ขนมปัง: die Brötchen
ในช่วง<b><i><u>พักเที่ยง</u></i></b> ฉันได้<b><i><u>ไป</u></i></b>ทานอาหารและได้พูดคุยกับเพื่อนร่วมงาน,In der Mittagspause bin ich zum Essen gegangen und habe mit Kollegen gesprochen.,- Perfekt
ในคิวในสนามบินมีนักธุรกิจ(!Km)อยู่สองสามคน,In der Schlange im Flughafen sind einige Geschäftsleute.,
ในปีนี้เราไปพักร้อนที่ประเทศไทย ไม่ใช่ออสเตรเลีย,"In diesem Jahr machen wir Urlaub in Thailand, nicht in Australien.",
ในอีก 1 สัปดาห์เขาจะบินไปจีน,In einer Woche fliegt er nach China.,
ในอีกสี่เดือนเราจะได้ลูกอีกคนหนึ่ง　เป็นเด็กผู้หญิง,In vier Monaten bekommen wir noch ein Baby. Es ist Mädchen.,
เธออาศัยอยู่ที่ชั้นเท่าไหร่,In welchem Stockwerk wohnst du?,- du<br>- ชั้น: Stockwerk
ในอีกสองเดือนจะเป็นการสอบ(p)ภาษาเยอรมันของเธอ(๓),In zwei Monaten ist ihre Deutschprüfung.,
กินอาหารดี(มีสุขภาพ)ไหม,Isst du gesund?,
ปลามีค่ามากกว่าทองคำหรือไม่,Ist der Fisch mehr wert als Gold?,
มีหมอในพวกเราไหม,Ist ein Arzt unter uns?,
เขาพอใจกับชีวิตประจำวันของเขาหรือไม่,Ist er mit seinem Alltag zufrieden?,
มัน(ช)อยู่ใต้โต๊ะหรือเปล่า　หรือว่ามันอยู่หลังโซฟา,Ist er unter dem Tisch? Oder ist er hinter dem Sofa?,
มีอะไรไม่ดีเกิดขึ้นหรอ,Ist etwas Schkimmes passiert?,- perfekt
ยังมีน้ำตาลเหลือไหม,Ist noch Zucker da?,
มัน(ญ)อยู่ในกระเป๋าถือหรือเปล่า หรือว่าในกระเป๋าเป้,Ist sie in der Handtasche? Oder im Rucksack?,
- Gibt es hier ein Telefon?<br>- มี ๆ มีตรงนี้หนึ่งเครื่อง,"Ja, hier ist eins.",
- Gibt es hier zwei Stühle?<br>- มี ๆ มีตรงนี้อยู่หลายตัว,"Ja, hier sind welche.",
ใช่ ฉันเห็นด้วย,"Ja, ich bin dafür.",
<div>- Habt ihr hier Telefon?</div><div>- มี <u>เรามี</u>อยู่เครื่องหนึ่ง</div>,"Ja, wir haben eins.",
ขึ้นอยู่กับเครื่องดื่มว่าฉันจะจ่ายหรือไม่จ่าย,Je nach Getränk bezahle ich oder nicht.,
ทุกวันฉันเตรียมอาหารเช้า,Jeden Tag bereite ich das Frühstück zu.,
<u>ทุกวัน</u>ฉันตื่นนอนตอนหกโมง,Jeden Tag stehe ich um sechs Uhr auf.,offiziell
ผู้เข้าร่วม<sub>(!Artikel)</sub>แต่ละคนต่างก็นำคำถาม(เอก)ของตัวเองมา,Jeder Teilnehmer bringt seine eigene Frage.,
Julia <u>ก็</u>มีผมสีน้ำตาล　แต่มันยาวกว่า<u>ของฉัน</u>,Julia hat auch braunes Haar. Es ist aber länger als meines.,
Julia เป็นน้องสาวของฉัน และเราอาศัยอยู่ในบ้านหลังเดียวกันในลอนดอน,Julia ist meine Schwester und wir leben im selben Haus in London.,
Julia เรียกฉันจากที่<b><u>หน้า</u></b>ประตูบ้าน,Julia ruft mir von der Haustür zu.,
คนหนุ่มสาวเป็นอนาคตของฉัน,Junge Leute sind meine Zukunft.,
รับกาแฟไหมครับ,Kann ich Ihnen einen Kaffee anbieten?,- พูดกับ Sie ในแบบสุภาพ<br>- ขอเสนอกาแฟให้คุณได้ไหมครับ
ฉันช่วยอะไรคุณได้บ้าง,Kann ich Ihnen helfen?,- Sie<br>- ฉันสามารถช่วยได้ไหม
ให้ผมช่วยอะไรไหมครับ,Kann ich Ihnen helfen?,Sie
เธอช่วยอธิบายอันนี้ให้ฉันหน่อยได้ไหม,Kannst du mir das erklären?,
ขอฉันยืมปากกา(ks)สักด้ามหน่อยได้ไหม,Kannst du mir einen Kugelschreiber leihen?,
เธออ่านหนังสือได้เฉพาะตอนใส่แว่นตาใช่ไหม,Kannst du nur mit Brille lesen?,
ไม่มีปัญหา งั้นเราเจอกันหกโมงที่ในเมือง,Kein Problem. Dann sehen wir uns um sechs Uhr in der Stadt.,- เจอ: s
ไม่รู้สิ,Keine Ahnung.,ไม่มีไอเดีย
มา เราจะเดินตัดสวนสาธารณะ มันใกล้กว่า,"Komm, wir gehen durch den Park, das ist kürzer.",
อย่าเข้ามาใกล้ฉันเกินไปนะ,Komme mir nicht zu nahe!,!
คุณ(Sie)จะไม่มา(k→z)งานเลี้ยงหรือ / ไปสิ แต่เดี๋ยวอีกแปป,"Kommen Sie nicht zur Party? / Doch, aber ein bisschen später.",
เขามาจากฝรั่งเศสใช่ไหม,Kommt er aus Frankreich?,er
เมืองเคิล์นตั้งอยู่ริมแม่น้ำไรน์,Köln liegt am Rhein.,
คุณช่วยนำทางไปสถานีรถไฟให้ผมหน่อย<b><u><i>ได้</i></u></b>ไหมครับ,Können Sie mir den Weg zum Bahnhof zeigen?,- Sie / Präsens
คุณช่วยแนะนำ(อะไร)ให้ฉันหน่อยได้ไหม,Können Sie mir welche empfehlen?,Sie
คุณอ่านไม่ออกหรือ　ที่นี่ห้ามจอด　แต่ตรงนู้นจอดได้,Können Sie nicht lesen? Hier ist Parken verboten. Aber da kann man parken.,- Sie
คุณช่วยบอก(s)ทางไปสถานีรถไฟหน่อยได้ไหม,Könnten Sie mir bitte den Weg zum Bahnhof sagen?,- Kt~
อย่ามายุ่งกับฉันเลย,Lass mich in Ruhe.,- ปล่อยฉันอยู่อย่างสงบ ๆ
วิ่งเร็ว ๆ หน่อย,Lauf schnell!,- du!
น่าเสียดายฉันซื้อได้แต่ชุดเดรส(B)หนึ่งตัว เพราะว่า<b><u><i>ตอนนั้น</i></u></b>ฉันไม่มีเงินมาก,"Leider kann ich nur eine Bluse kaufen, denn habe ich nicht so viel Geld dabei.",- เพราะว่า: denn
สัปดาห์ที่แล้วฉันมาที่สำนักงานตอนแปดโมงและฉันก็เริ่มทำงาน,Letzte Woche bin ich um acht Uhr ins Büro gekommen und ich habe mit der Arbeit angefangen.,- Perfekt
ปีที่แล้วฉันอยากทำงานที่แผนกส่งออก แต่ว่าฉันทำไม่ได้ เพราะไม่รู้ภาษาฝรั่งเศส,"Letztes Jahr wollte ich in der Exportabteilung arbeiten, aber ich durfte nicht, weil ich kein Französisch konnte.",Präteritum
เธอยังรัก Thomas อยู่ไหม / ไม่ ฉันไม่รักเขาแล้ว,"Liebst du Thomas noch? / Nein, ich liebe ihn nicht mehr.",
ทางด้านซ้ายของบ้านของฉันเป็นซุปเปอร์มาร์เก็ตแห่งหนึ่งและทางด้านขวาของบ้านของฉันเป็นร้านขายดอกไม้แห่งหนึ่ง,Links neben meinem Haus ist ein Supermarkt und rechts neben meinem Haus ist ein Blumengeschäft.,
Luki กระโดดข้ามหน้าต่าง,Luki springt durch das Fenster.,
เปิดไฟหน่อยได้ไหม,Machst du bitte das Licht an?,- du<br>- คำถาม<br>- bitte
เธอชอบหมาพอ ๆ กับแมวใช่ไหม,Magst du Hunde sowie Katzen?,
เธอชอบเพื่อนร่วมงาน(ญ)คนใหม่ไหม,Magst du die neue Kollegin?,
ได้ยินเสียงอะไรบางอย่างตรงประตูหลังของรถบรรทุก,Man hört Lärm an der Hintertür des Lastwagens.,
คนบางคนก็เป็นแบบนั้น,Manche Menschen sind so.,
บางคนเรียกสิ่งนี้ว่าการทำสมาธิ,Manche nennen das Meditation.,
บางครั้งพวกเขาเอาเพื่อนมาทานอาหารด้วย,Manchmal bringen sie Freunde zum Essen mit.,
บางครั้งฉันดูโทรทัศน์ตอนเย็น,Manchmal sehe ich abends fern.,
มาร์เซลมากับไดอารีสีชมพูเล่มหนึ่ง,Marcel kommt mit einem rosafarbenen Tagebuch.,
น้องชายของฉันเรียนเคมีและขยันมาก　อาจารย์ของเขาชมเขาอยู่เสมอ,Mein Bruder studiert Chemie und ist sehr fleißig. Sein Professor lobt ihn immer.,
เพื่อนของฉัน Michael มารอพวกเราอยู่ที่ทางออกของสนามบิน,Mein Freund Michael erwartet uns am Ausgang des Flughafens.,
วันเกิดของฉันมันสำคัญมาก เธอรู้ไหม,"Mein Geburtstag ist sehr wichtig, weißt du?",
โทรศัพท์ฉันแบตฯ(A)หมด,Mein Handy hat keinen Akku mehr.,
บ้านของฉันใหญ่เป็นพิเศษ(!e),Mein Haus ist besonders groß.,
เสื้อเชิตของฉันมีสี(พหู!artikel)ที่แตกต่าง,Mein Hemd hat verschiedene Farben.,
ฉันคิดถึงประเทศของฉัน,Mein Land fehlt mir.,
ฉันปวดท้อง<sub>(กระเพาะ)</sub>ตลอดเลย,Mein Magen tut immer weh.,
สามีของฉันอยากซื้อรถคันใหญ่,Mein Mann möchte ein großes Auto kaufen.,
"ลูกชายของฉันอายุสิบขวบ　เขากินเยอะ<u style="""">มาก</u>และนอนทุกวันวันละสิบชั่วโมง　เขาโตเอาโตเอา　เขายังชอบเล่นเทนนิสและชอบอ่าน(หนังสือ)ด้วย",Mein Sohn ist zehn Jahre alt. Er isst sehr viel und schläft jeden Tag zehn Stunden. Er wächst und wächst. Er spielt gern Tennis und liest auch gern.,
พ่อของฉันสร้างโรงรถติดกับบ้าน,Mein Vater baut eine Garage neben das Haus.,
พ่อของฉันจะไปเบอร์ลินวันพรุ่งนี้ เขาพบเพื่อนของเขาที่นั้น,Mein Vater fährt morgen nach Berlin. Er trifft dort seine Freunde.,เพื่อนเป็นพหูพจน์
พ่อของฉันออกบ้านตอนเจ็ดโมงครึ่ง พาน้องชายของฉันไปด้วย<u>เสมอ</u>　น้องชายของฉันลงจากรถที่หน้าโรงเรียน,"Mein Vater fährt um halb acht los, er nimmt immer meinen Bruder mit. Mein Bruder steigt vor der Schule aus.",
พ่อฉันไปเดินเล่นกับหมาของเรา ส่วนแม่ฉันเตรียมอาหารเช้า,"Mein Vater geht mit unserem Hund spazieren, und meine Mutter bereitet das Frühstück zu.",
พ่อของฉันเป็นช่างไฟฟ้าและเขาทำงานใน(i)บริษัทใหญ่แห่งหนึ่ง,Mein Vater ist Elektriker und arbeitet in einer großen Firma.,
พ่อฉันอ่านหนังสือพิมพ์เป็นประจำ(!i),Mein Vater liest häufig die Zeitung.,
พ่อเห็นว่าฉันยังแต่งตัวไม่เสร็จอีก,"Mein Vater sieht, dass ich noch nicht angezogen bin.","präsens, perfekt"
พ่อของฉันอยากเรียนก่อนหน้านี้ แต่เขาเรียนไม่ได้เพราะพ่อแม่ของเขามีเงินไม่พอ,"Mein Vater wollte früher studieren, aber er durfte nicht, weil seine Eltern nicht genug Geld hatten.",Präteritum
ฉันเจ็บฟัน,Mein Zahn tut weh.,- เอกพจน์
รถไฟของฉันจะออกเดินทางในอีก 10 นาที,Mein Zug fährt in zehn Minuten ab.,
หมาของฉันเองตัวใหญ่กว่าฉันอีก,Mein eigener Hund ist größer als ich.,
ขาของฉันยาวแล้ว<u>ก็</u>ค่อนข้างแข็งแรง เพราะฉันออกไปวิ่งทุกเช้า,"Meine Beine sind lang und auch ziemlich kräftig, weil ich jeden Morgen laufen gehe.",- เพราะ: weil
พ่อแม่ของฉันทำงานที่ร้านอาหารแห่งหนึ่งถัดกับสถานีรถไฟ,Meine Eltern arbeiten in einem Restaurant neben dem Bahnhof.,
พ่อแม่ของฉันมีรถสองคัน　และเขามีบ้านหนึ่งหลังในมิวนิก　บ้านเขามีห้องห้าห้อง สามห้องส้วมและสองห้องอาบน้ำ　เขายังอยากได้บ้านอีกหลังในสวิตเซอร์แลนด์,"Meine Eltern haben zwei Autos. Und sie haben ein Haus in München. Ihr Haus hat fünf Zimmer, drei Toiletten und zwei Bäder. Sie möchten noch ein Haus in der Schweiz.",
แม่ของฉันชอบเล่าเรื่องต่าง ๆ ให้พวกเราฟัง,Meine Mutter erzählt uns gern Geschichten.,
แม่ฉัน<u>เดิน</u>ไปทำงาน　เธอสอนภาษาเยอรมันในโรงเรียนสอนภาษาแห่งหนึ่ง,Meine Mutter geht zu Fuß zur Arbeit. Sie unterrichtet Deutsch in einer Sprachschule.,
พี่สาวของฉันไปส่งคุณพ่อของฉันที่ร้านอาหารด้วยรถยนต์,Meine Schwester bringt meinen Vater mit dem Auto ins Restaurant.,
พี่สาวของฉันเอารูปที่สวยที่สุดของเธอให้(g)คุณพ่อของฉัน,Meine Schwester gibt meinem Vater ihr schönstes Foto.,
น้องสาวของฉันมีตา(-Artikel)สีน้ำตาล เหมือนพ่อของฉันเลย,"Meine Schwester hat braune Augen, genau wie mein Vater.",- ใช้คำว่าตา ไม่ใช่ สีตา
น้องสาวของฉันขี้อายเล็กน้อย　โดยเฉพาะอย่างยิ่ง<sub>(va)</sub>เวลาที่เขารู้จักคนใหม่ ๆ,"Meine Schwester ist etwas schüchtern. Vor allem, wenn sie neue Leute kennenlernt.",
พี่สาวของฉันแต่งงาน(แล้ว)และอาศัย(!w)อยู่ในประเทศสหรัฐอเมริกา,Meine Schwester ist verheiratet und lebt in den USA.,
พี่สาวของฉันอายุมากกว่าฉัน เธออายุ 27 ปี,"Meine Schwester ist älter als ich, sie ist siebenundzwanzig Jahre alt.",
กระเป๋าฉันไม่อยู่ มันน่าหงุดหงิด เอกสารทั้งหมดของฉันอยู่ในกระเป๋าใบนั้น,Meine Tasche ist weg. Das ist ärgerlich. Alle meine Dokumente sind in der Tasche.,
หมายเลขโทรศัพท์ของฉันคือ 77 23 69,Meine Telefonnummer ist siebenundsiebzig dreiundzwanzig neunundsechzig.,
บ้านฉันสวยและสว่าง ห้องนอนของฉันค่อนข้างใหญ่,Meine Wohnung ist schön und hell. Mein Schlafzimmer ist ziemlich groß.,บ้าน - W~
Michael อยู่ในห้อง<sub>(บ้าน)</sub>　เขาต้องอ่านหนังสือเรียน　Julia กับฉันเดินทางมุ่งหน้าไปยังร้านอาหาร,Michael bleibt in der Wohnung. Er muss lernen. Julia und ich gehen in Richtung Restaurant.,
Michael มองดูน้องสาวของฉัน Julia อย่างสงสัย,Michael guckt meine Schwester Julia neugierig an.,
Michael ช่วยเรายกกระเป๋า(เป้)<sub>พหู</sub>,Michael hilft uns mit den Rucksäcken.,
Michael ตกใจ(ประหลาดใจ/surprised)มาก,Michael ist sehr überrascht.,
Michael จ้องมองไปที่ผู้ชายคนนั้น,Michael starrt den Mann an.,
ไม่กี่นาทีหลังจากนั้นเราก็อยู่ระหว่างทางไปยังบ้านของ Michael,Minuten später sind wir auf dem Weg zu Michaels Wohnung.,
ฉันชอบอันนี้ที่สุด,Mir gefällt das am besten.,
ฉันสบายดี,Mir geht es gut.,
(สำหรับฉัน)อากาศหนาวจัง,Mir ist es kalt.,
(สำหรับฉัน)คอมพิวเตอร์ของฉันสำคัญที่สุด,Mir ist mein Computer am wichtigsten.,
มัน(ก)เพียงพอกับฉันแหละ,Mir reicht es jedenfalls.,
ด้วยอายุเจ็ดขวบฉันสามารถอ่านและเขียนได้ และหลังจากนั้น(v๓)ฉันก็อ่าน(หนังสือ)อย่างมากมาโดยตลอด,"Mit sieben Jahren konnte ich lesen und schreiben, und von da an habe ich immer viel gelesen.",- Vergangenheit
เธอ(ญ)คุยโทรศัพท์กับใคร,Mit wem hat sie telefoniert?,- perfekt<br>- telefonieren
แปป แปป อย่าเพิ่งใจร้อน,"Moment, Moment! Nicht so hektisch!",
พรุ่งนี้เราจะไป(f)ทะเลกัน,Morgen fahren wir ans Meer.,
เจ็ดโมงเช้าเกือบจะมีฉันแค่คนเดียวที่นี่,Morgens um sieben bin ich fast alleine hier.,
เอาเฟรนช์ฟรายเพิ่มไหม,Möchtest du noch Pommes?,- du<br>- อยาก
พวกเธอชอบพวกเราไหม / เรารักพวกเธอเลยแหละ!,Mögt ihr uns? / Wir lieben euch!,
หลังอาหารฉันทำงานได้ไม่ค่อยดี,Nach dem Essen kann ich nicht gut arbeiten.,- ไม่สามารถทำงานได้ดี
หลังเล่นกีฬาเขาไปอาบน้ำ,Nach dem Sport geht er duschen.,
หลังจากเงียบไปสองสามนาทีฉันก็ได้ถามชายคนนั้นอีกหนึ่งคำถาม,Nach einigen Minuten Stille habe ich noch eine Frage an den Mann.,- ถาม: Frage haben
หลังจากเขาวิ่ง(!l) เขาก็หลับ,"Nachdem er rennt, schläft er.",
ไม่เป็นไร ขอบคุณ ฉันอิ่มแล้ว,"Nein, danke. Ich bin satt.",อิ่ม - s~
ไม่ ขอบคุณ ฉันไม่ชอบดื่มไวน์ขาว ฉัน<u>ชอบ</u>ไวน์แดงมากกว่า,"Nein, danke. Ich trinke nicht gern Weißwein. Ich möchte lieber Rotwein.",
- Kommst du später?<br>- ไม่ ไม่ได้　เดี๋ยวฉันทำการบ้าน(พหู),"Nein, das geht nicht. Später mache ich Hausaufgaben.",
- Gibt es hier ein Telefon?<br>- ไม่ ที่นี่ไม่มีเลย,"Nein, hier gibt es keins.",
ไม่ เธอ(๓)ไม่อยู่(z)บ้าน　เธอไป(f→n)ฝรั่งเศส,"Nein, sie ist nicht zu Hause. Sie fährt nach Frankreich.",
ไม่มีใครรู้(k)คำตอบ,Niemand kennt die Antwort.,
ไม่มีใครรู้ว่าเขาจะมาวันนี้ไหม,"Niemand weiß, ob er heute kommt.",
พกร่มไปด้วยสิ ไม่งั้นเดี๋ยวเปียกนะ,"Nimm den Regenschirm mit, sonst wirst du nass.",
สัปดาห์หน้าเป็นวันเกิดของ Franka,Nächste Woche hat Franka Geburtstag.,
สัปดาห์หน้าฉันจะอายุ 29 ปี,Nächste Woche werde ich neunundzwanzig.,
เดือนหน้าฉันมีสอบ(K-พหู)และฉันต้องอ่านหนังสือสอบเยอะ,Nächsten Monat schreibe ich Klausuren und ich muss viel lernen.,
เขามักจะเอาของเล่นให้(s)เด็ก ๆ ส่วนพ่อจะเป็นเนคไทและแม่จะเป็นขวดน้ำหอม,"Oft schenkt er den Kindern Spielsachen, dem Vater eine Krawatte und der Mutter eine Flasche Parfüm.",- ขึ้นประโยคด้วย Oft
ฉันมักจะเล่นฟุตบอลช่วงบ่ายวันพุธ,Oft spiele ich am Mittwochnachmittag Fußball.,
โอ้ ไม่นะ　เป็นไปได้อย่างไรกัน,"Oh, nein! Wie ist das möglich?",
โอ้ บังเอิญจังเลย พี่สาวของฉันก็เป็นครูสอนภาษาอังกฤษ,"Oh, so ein Zufall! Meine Schwester ist auch Englischlehrerin.",
Pablo เป็นเพื่อนของ Ana　เขาเป็นลูกชายของลูกพี่ลูกน้อง Raúl,Pablo ist Anas Freund. Er ist der Sohn von Raúls Cousin.,
Pameda อาศัยอยู่กับพ่อแม่,Pameda wohnt bei den Eltern.,- ไม่ใช่ mit
ระวัง ไม่งั้นเธอจะวิ่งชนป้ายนะ,"Pass auf, sonst läufst du gegen das Schild.",
Peter อายุสิบสี่ปีและอยากไปเที่ยวดิสโก<i><u><b>แล้ว</b></u></i>　แต่พ่อแม่เขาไม่อยากเช่นนั้น,Peter ist vierzehn Jahre alt und will schon in die Disko gehen. Aber seine Eltern wollen das nicht.,
Peter โทรศัพท์หาเพื่อน(ญ)ของเขา,Peter ruft seine Freundin an.,- โทรศัพท์: ar
คุณเดินทางไป<u>เที่ยว</u>ต่างประเทศบ่อยไหม,Reist du oft ins Ausland?,
จัดบ้านกันหน่อยสิ,Räumt doch die Wohnung auf!,- ihr!<br>- doch
บอกหน่อย เราจะทำอะไรหลังกินข้าวหรอ (ควร)ไปเดินเล่นกันดีไหม,"Sag mal, was machen wir nach dem Essen? Sollen wir spazieren gehen?",
วันเสาร์เป็นวันสุดท้ายของสัปดาห์,Samstag ist der letzte Tag der Woche.,
เธอไม่ส่งอีเมล<sub>(พหู)</sub>ให้พวกเขาหรอ,Schenkst du ihnen keine E-Mails?,
นอน<u>สักหน่อย</u>สิ,Schlaf doch ein bisschen!,- du!<br>- doch
การนอนหลับนั้นน่าสนใจ,Schlaf ist interessant.,
เธอหลับดีไหม,Schläfst du gut?,
อาหารถูกปากแขกไหม,Schmeckt das Essen den Gästen?,แขกเป็นพหูพจน์
ขนมเค้กถูกปากเธอไหม　บอกหน่อย,Schmeckt dir der Kuchen? Sag mal!,?!
กรุณาอย่าดูโทรทัศน์มากไปเลยครับ,Sehen Sie bitte nicht so viel fern!,- Sie!<br>- bitte
อย่าขี้เกียจหน่อยเลยน่า,Sei doch nicht so faul!,- du!<br>- doch
คิดในแง่ดีหน่อย!,Sei positiv!,- du!
คิดในแง่ดีกันหน่อย,Seid positiv!,- ihr!
คิดในแง่ดีเถอะครับ,Seien Sie positiv!,- Sie!
เครื่องบินของเขาลงจอดเวลา 16 นาฬิกาและฉันก็ไปอยู่ที่นั่นตรงเวลา,Sein Flugzeug ist um sechzehn Uhr gelanden und ich bin pünktlich da gewesen.,- Perfekt
คุณพ่อ<u>ของเขา</u>ไม่สบาย ตอนนี้เขาอยู่ในโรงพยาบาล,Sein Vater ist krank. Er liegt jetzt im Krankenhaus.,อยู่ - liegen
เสื้อแจ็กเก็ตของเขาเคยอยู่ตรงหน้าต่าง,Seine Jacke war am Fenster.,präteritum
ญาติ ๆ และเพื่อน ๆ ของเขาอาศัยอยู่ใกล้ ๆ มิวนิก,Seine Verwandten und Freunde wohnen in der Nähe von München.,
เป็นเวลาหนึ่งปีแล้วที่ฉันอาศัยอยู่ที่ฮัมบวร์ก,Seit einem Jahr wohne ich in Hamburg.,
เขาดื่มชาตั้งแต่เมื่อไหร่,Seit wann trinkt er Tee?,
เธออาศัยอยู่ที่ฮัมบวร์กตั้งแต่เมื่อไหร่,Seit wann wohnst du in Hamburg?,
แม้แต่ฉันก็ยังดื่มนม,Selbst ich trinke Milch.,
เธอ(๓)ตกลงรับช็อกโกแลต(พหู)ฟรี<sub>(mit Artikel)</sub>,Sie akzeptiert die kostenlose Schokolade.,
เขา(ญ)ทำงานวันพฤหัสตอนเย็นตั้งแต่หกโมงถึงสี่ทุ่ม,Sie arbeitet Donnerstagabend von sechs bis zehn Uhr.,sie / umgangssprachlich
เธอ(๓)ทำงานทั้งวันและตอนเย็น(-präp)เธอไป(g→z)เรียนคอร์สเยอรมัน,Sie arbeitet den ganzen Tag und abends geht sie zum Deutschkurs.,- ไปเรียน = ไปคอร์สเรียนเยอรมัน
เธอ(๓ญ)ใช้ชื่อของฉัน,Sie benutzt meinen Namen.,
พวกเขาเยี่ยมคุณลุง,Sie besuchen den Onkel.,
เธอ(๓)เลี้ยวขวาเข้าไปยังถนน Prinzen,Sie biegt rechts ab in die Prinzenstraße.,
คุณ(Sie)ต้อง(d)งดดื่มกาแฟและชา,Sie dürfen keinen Kaffee und keinen Tee trinken.,Sie
เธอ(๓)แนะนำร้านอาหารให้กับพวกเรา,Sie empfiehlt uns das Restaurant.,
พวกเขาขับ(รถ)ตัดเมือง,Sie fahren durch die Stadt.,
พวกเขาขับ(รถ)รอบ ๆ เมือง,Sie fahren um die Stadt.,
เธอ(๓)ไป(f)ตามถนน Koch,Sie fährt die Kochstraße entlang.,
พวกเขาเดินตามหลังพ่อแม่ของพวกเขา,Sie gehen hinter ihren Eltern.,
พวกเขาแทบจะไม่ออก(บ้าน:ag)โดยไม่มีลูก ๆ ของพวกเขาเลย ส่วนใหญ่เขามักจะเอาลูกของพวกเขาไปด้วยเสมอ,"Sie gehen selten ohne ihre Kinder aus, meistens nehmen sie ihre Kinder mit.",
พวกเขาไปยัง(z)บ้านของพ่อของฉัน,Sie gehen zum Haus meines Vaters.,
เธอ(๓)ไป(g)รอบ ๆ โต๊ะ,Sie geht um den Tisch.,
พวกเขาเดินตัดสวน Görlitzer และได้มาถึงร้านไอศกรีมบนถนน Flackenstein,Sie haben den Görlitzer Park durch quert und sind im Eiscafé in der Flackensteinstraße angekommen.,- Perfekt
เธอ(๓)มีชุดเดรสใหม่สีแดง,Sie hat ein neues rotes Kleid.,
เธอ(๓)สวม(ah)เสื้อแจ็กเก็ตสวยตัวหนึ่ง,Sie hat eine schöne Jacke an.,
เธอ(๓)มีชื่อเฉพาะส่วนตัวให้สำหรับเขา,Sie hat einen persönlichen Namen für ihn.,
เธอ(๓)เอามัน(ก)ให้(s)เด็ก(เอก),Sie hat es dem Kind geschenkt.,- perfekt
เธอ(๓ญ)ไม่มีความอยากที่จะมาเลยแม้แต่น้อย,Sie hat gar keine Lust zu kommen.,
เธอ(๓)เยี่ยมเพื่อน(พหู)ของเธอ,Sie hat ihre Freunde besucht.,- perfekt
เธอ(๓)ไม่มีเพื่อน เธออยู่คนเดียวเสมอ,"Sie hat keinen Freund, sie ist immer allein.",
เธอ(๓)ได้ช่วยฉันด้วยนิดหน่อย,Sie hat mir ein bisschen geholfen.,- perfekt
เธอ(๓ญ)ไม่กลัวต่ออะไรทั้งนั้น,Sie hat vor nichts Angst.,
เธอ(๓)ปั่นจักรยานและตอนนั้นเธอก็หกล้ม,Sie ist Rad gefahren und dann ist sie hingefallen.,perfekt
เธอ(๓)ได้ย้ายออกจากบ้านของเธอ,Sie ist aus ihrer Wohnung ausgezogen.,perfekt / บ้าน - W
เธอ(๓)มาถึง(n)บ้านดึกมาก,Sie ist erst sehr spät nach Hause gekommen.,- perfekt
เธอ(๓ญ)แข็งแรง<u><i><b>ประมาณ</b></i></u>พอ ๆ กันกับเธอ,Sie ist etwa genauso stark wie du.,
มัน(ญ)ราคาไม่ถูก,Sie ist nicht billig.,
มัน(ญ)สวยและไม่แพงเกินไป คุณชอบมันไหม (สุภาพ),Sie ist schön und nicht so teuer. Wie gefällt sie Ihnen?,- <b><u><i>Sie</i></u></b>. Wie?
เธอ(๓)อายุเท่ากับ Bärlin,Sie ist so alt wie Bärlin.,
เธอ(๓ญ)ตรงเวลาเป็นประจำ,Sie ist stets pünktlich.,
พวกเขารู้จักกันมาทั้งชีวิต,Sie kennen sich ihr Leben lang.,
คุณสามารถมาตอนแปดโมงหรือตอนเก้าโมงก็ได้ แล้วแต่คุณเลย,"Sie können um acht Uhr oder um neun Uhr kommen, wie Sie wollen.",- Sie
